EduCat,USRCat,AgeCat,IncCat,MarCat,RaceCat,GenderCat,1,2,3,4,5,6,n
2,1,2,3,5,4,1,0,0,1,0,0,0,1
2,1,2,5,1,1,2,0,1,0,0,0,0,1
2,1,2,6,1,2,2,0,0,0,0,0,1,1
2,1,2,6,1,4,2,0,0,0,0,0,1,1
2,1,2,6,4,4,2,0,0,0,1,0,0,1
2,1,2,6,5,2,1,1,0,0,0,0,0,1
2,1,3,1,1,2,2,0,1,0,0,0,0,1
2,1,3,1,2,2,2,0,0,1,0,0,0,1
2,1,3,1,5,2,1,0,0,0,1,1,0,2
2,1,3,2,1,2,1,0,0,0,1,0,0,1
2,1,3,2,1,2,2,0,1,0,0,0,0,1
2,1,3,2,1,4,2,0,1,0,0,0,0,1
2,1,3,2,2,2,1,0,0,0,0,1,0,1
2,1,3,2,5,2,2,0,0,0,0,2,0,2
2,1,3,2,5,3,2,0,0,3,0,0,0,3
2,1,3,2,5,4,2,0,0,0,0,0,1,1
2,1,3,3,1,1,1,0,1,0,0,0,0,1
2,1,3,3,1,2,2,0,0,2,1,0,0,3
2,1,3,3,1,4,2,0,0,1,0,0,0,1
2,1,3,3,5,3,1,1,0,0,0,0,0,1
2,1,3,4,1,2,1,0,1,0,0,0,0,1
2,1,3,4,1,4,1,0,0,0,0,0,1,1
2,1,3,5,1,1,1,0,0,0,0,1,0,1
2,1,3,5,1,3,2,0,0,1,0,0,0,1
2,1,3,5,2,4,1,0,0,1,0,0,0,1
2,1,3,5,3,2,1,0,0,0,1,0,0,1
2,1,3,6,1,2,2,0,0,0,0,2,2,4
2,1,3,6,3,2,1,0,0,0,1,0,0,1
2,1,3,6,5,2,2,0,0,0,2,0,0,2
2,1,3,6,5,4,1,0,0,1,0,0,0,1
2,1,4,1,1,2,2,0,0,0,2,0,0,2
2,1,4,1,3,2,2,0,0,1,0,0,0,1
2,1,4,1,5,2,1,0,0,1,0,0,0,1
2,1,4,1,5,3,1,0,1,0,0,0,0,1
2,1,4,1,5,3,2,0,0,1,0,0,0,1
2,1,4,1,5,4,1,0,1,0,0,0,0,1
2,1,4,2,1,2,1,0,0,2,1,0,0,3
2,1,4,2,1,2,2,0,1,1,2,0,1,5
2,1,4,2,1,3,1,0,0,2,0,0,0,2
2,1,4,2,1,3,2,1,0,0,0,0,0,1
2,1,4,2,3,2,2,0,1,2,0,1,0,4
2,1,4,2,3,3,1,1,0,0,0,0,0,1
2,1,4,2,5,1,2,0,0,1,0,0,0,1
2,1,4,2,5,2,1,0,0,1,0,0,0,1
2,1,4,3,1,1,2,0,0,1,0,1,0,2
2,1,4,3,1,2,1,0,1,0,3,0,0,4
2,1,4,3,1,2,2,0,0,3,1,0,0,4
2,1,4,3,3,2,1,0,0,0,0,1,0,1
2,1,4,4,1,2,1,0,0,0,2,0,0,2
2,1,4,4,1,2,2,0,0,0,1,0,0,1
2,1,4,4,1,4,2,0,0,0,0,1,0,1
2,1,4,5,1,2,1,0,0,2,1,0,0,3
2,1,4,5,1,2,2,0,0,1,0,0,0,1
2,1,4,5,1,4,1,0,0,1,0,0,0,1
2,1,4,5,1,4,2,0,0,0,1,0,0,1
2,1,4,5,5,3,1,0,0,1,0,0,0,1
2,1,4,6,1,2,1,0,0,0,0,1,0,1
2,1,4,6,1,2,2,0,0,0,0,1,0,1
2,1,4,6,1,3,1,0,0,1,0,0,0,1
2,1,4,6,1,4,1,0,0,0,1,0,0,1
2,1,4,6,2,4,2,0,0,0,0,1,0,1
2,1,4,6,3,3,2,0,1,0,0,0,0,1
2,1,5,1,1,4,1,0,0,1,0,0,0,1
2,1,5,1,2,2,2,0,0,1,1,0,0,2
2,1,5,1,3,2,2,0,0,1,1,0,0,2
2,1,5,1,3,3,2,1,0,0,0,0,0,1
2,1,5,1,5,2,2,0,1,0,0,0,0,1
2,1,5,1,5,5,1,0,0,1,0,0,0,1
2,1,5,2,1,2,1,0,1,0,3,1,0,5
2,1,5,2,1,2,2,1,1,1,1,2,1,7
